,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,date_action,points_de_vente,nom_action,montant
134,134,134,134,2022-04-15 09:47:08.0,134,action_eneo_paiement,21.8627468915598
135,135,135,135,2022-04-15 09:47:08.0,135,COMMISSION_AJOUT,0.0762246248223966
136,136,136,136,2022-04-15 09:47:08.0,136,COMMISSION_AJOUT,0.152449249644793
137,137,137,137,2022-04-15 09:47:07.0,137,action_transfert,0.45734774893438
138,138,138,138,2022-04-15 09:47:07.0,138,COMMISSION_AJOUT,0.0034301081170078
139,139,139,139,2022-04-15 09:47:07.0,139,COMMISSION_AJOUT,0.0
140,140,140,140,2022-04-15 09:47:07.0,140,COMMISSION_AJOUT,0.0182939099573752
141,141,141,141,2022-04-15 09:47:07.0,141,validation_action_vente_mtn_momo_depot,0.0
142,142,142,142,2022-04-15 09:47:06.0,142,action_vente_mtn_momo_depot,45.734774893438
143,143,143,143,2022-04-15 09:47:06.0,143,validation_action_vente_orange_money_depot,0.0
144,144,144,144,2022-04-15 09:47:06.0,144,action_vente_orange_money_depot,7.77491173188446
145,145,145,145,2022-04-15 09:47:06.0,145,action_vente_mtn_momo_payment,15.5498234637689
146,146,146,146,2022-04-15 09:47:05.0,146,action_transfert,2.2867387446719
147,147,147,147,2022-04-15 09:47:05.0,147,COMMISSION_AJOUT,0.0
148,148,148,148,2022-04-15 09:47:05.0,148,COMMISSION_AJOUT,0.0171505405850392
149,149,149,149,2022-04-15 09:47:05.0,149,COMMISSION_AJOUT,0.0914695497868759
150,150,150,150,2022-04-15 09:47:04.0,150,action_vente_orange_money_payment,10.6714474751355
151,151,151,151,2022-04-15 09:47:02.0,151,action_vente_mtn_momo_depot,15.2449249644793
152,152,152,152,2022-04-15 09:47:02.0,152,action_transfert,0.45734774893438
153,153,153,153,2022-04-15 09:47:02.0,153,COMMISSION_AJOUT,0.0
154,154,154,154,2022-04-15 09:47:02.0,154,COMMISSION_AJOUT,0.0
155,155,155,155,2022-04-15 09:47:02.0,155,COMMISSION_AJOUT,0.021724018074383
156,156,156,156,2022-04-15 09:47:02.0,156,action_transfert,0.22867387446719
157,157,157,157,2022-04-15 09:47:02.0,157,COMMISSION_AJOUT,0.0
158,158,158,158,2022-04-15 09:47:02.0,158,COMMISSION_AJOUT,0.0017150540585039
159,159,159,159,2022-04-15 09:47:02.0,159,COMMISSION_AJOUT,0.0091469549786876
160,160,160,160,2022-04-15 09:46:59.0,160,action_vente_mtn_momo_payment,29.7276036807347
161,161,161,161,2022-04-15 09:46:58.0,161,action_eneo_paiement,20.5379629121465
162,162,162,162,2022-04-15 09:46:58.0,162,COMMISSION_AJOUT,0.0762246248223966
163,163,163,163,2022-04-15 09:46:57.0,163,COMMISSION_AJOUT,0.152449249644793
164,164,164,164,2022-04-15 09:46:52.0,164,action_transfert,1.52449249644793
165,165,165,165,2022-04-15 09:46:52.0,165,COMMISSION_AJOUT,0.0
166,166,166,166,2022-04-15 09:46:52.0,166,action_transfert,0.762246248223966
167,167,167,167,2022-04-15 09:46:52.0,167,COMMISSION_AJOUT,0.0
168,168,168,168,2022-04-15 09:46:52.0,168,COMMISSION_AJOUT,0.0057168468616797
169,169,169,169,2022-04-15 09:46:52.0,169,COMMISSION_AJOUT,0.0114336937233595
170,170,170,170,2022-04-15 09:46:52.0,170,COMMISSION_AJOUT,0.0
